url,retweet_count,quote_tweet_count,like_count
https://twitter.com/1992Earthh/status/1317295946586181634,29.4K,277,"6,310"
https://twitter.com/1992Earthh/status/1317295946586181634?s=19,29.4K,277,"6,307"
https://twitter.com/1992Earthh/status/1317333042168360960,"5,157",57,"1,035"
https://twitter.com/1992Earthh/status/1317334040085626880,843,5,103
https://twitter.com/1992Earthh/status/1317335088661557248,"5,402",84,"1,018"
https://twitter.com/1992Earthh/status/1317338641522290689,"6,811",61,"1,875"
https://twitter.com/1992Earthh/status/1317339380709687296,"1,018",6,245
https://twitter.com/1992Earthh/status/1317347891346694146,642,8,119
https://twitter.com/1992Earthh/status/1317353416901885952,162,0,76
https://twitter.com/1992Earthh/status/1317354281662443521,"2,856",31,479
https://twitter.com/1992Earthh/status/1317378561024561153,"6,332",43,"1,191"
https://twitter.com/1992Earthh/status/1317381083420266498,"3,810",38,740
https://twitter.com/1992Earthh/status/1317394488759734274,12K,138,"2,646"
https://twitter.com/1992Earthh/status/1317394488759734274?s=09,12K,138,"2,646"
https://twitter.com/1992Earthh/status/1317394767982981120,695,9,129
https://twitter.com/1992Earthh/status/1317396411630067712,"3,171",10,275
https://twitter.com/1992Earthh/status/1317396841663582208,11.8K,220,"2,276"
https://twitter.com/1992Earthh/status/1317397426974568450,"3,009",25,474
https://twitter.com/1992Earthh/status/1317399925030678532,"1,592",12,288
https://twitter.com/1992Earthh/status/1317400853775486977,762,4,194
https://twitter.com/1992Earthh/status/1317401899704832000,50,0,11
https://twitter.com/1992Earthh/status/1317403035560157184,"2,470",7,411
https://twitter.com/1992Earthh/status/1317404860178866182,"6,218",89,"1,184"
https://twitter.com/1992Earthh/status/1317405339315154944,"1,038",8,238
https://twitter.com/1992Earthh/status/1317410879445508096,"2,660",18,579
https://twitter.com/1992Earthh/status/1317411556452265984,619,3,194
https://twitter.com/1992Earthh/status/1317420821938282496,552,4,123
https://twitter.com/1992Earthh/status/1317428370552967170,974,7,188
https://twitter.com/1992Earthh/status/1317428619082309632,253,0,48
https://twitter.com/1992Earthh/status/1317429103281147904,"1,740",13,311
https://twitter.com/1992Earthh/status/1317431272252207104,"6,844",19,"2,271"
https://twitter.com/1992Earthh/status/1317432538776834050,"4,099",21,"1,186"
https://twitter.com/1992Earthh/status/1317434431347388418,854,0,177
https://twitter.com/1992Earthh/status/1317436704148447232,"4,070",20,"1,125"
https://twitter.com/1992Earthh/status/1317437930734985216,"5,513",23,"1,841"
https://twitter.com/1992Earthh/status/1317439897112776704,"9,164",46,"2,455"
https://twitter.com/1992Earthh/status/1317440310025154563,"1,280",5,508
https://twitter.com/1992Earthh/status/1317441443699458050,14.7K,105,"5,106"
https://twitter.com/1992Earthh/status/1317443428578283520,"4,167",10,"1,788"
https://twitter.com/1992Earthh/status/1317443765884186624,"1,054",2,419
https://twitter.com/1992Earthh/status/1317448189167874050,"2,850",28,"1,282"
https://twitter.com/1992Earthh/status/1317490347237281792,"2,731",31,638
https://twitter.com/1992Earthh/status/1317772213576069121,"1,627",12,534
https://twitter.com/1992Earthh/status/1318082804790435841,"5,562",20,"2,094"
https://twitter.com/1992Earthh/status/1331633573846163457,"2,036",6,706
https://twitter.com/1992Earthh/status/1331645746639081473,122,0,62
https://twitter.com/1992s_p/status/1317056006392741891,8,0,4
https://twitter.com/19931206P/status/1317055100272013312,2,1,0
https://twitter.com/1993_doubleB/status/1317426905813938176,9,0,2
https://twitter.com/1993_doubleB/status/1331556402620289029,73,2,46
https://twitter.com/1993myk/status/1284533131354107905,62,2,21
https://twitter.com/1994W_S/status/1317099648012619777,921,63,563
https://twitter.com/1994_hobi/status/1317112547498102786,144,4,12
https://twitter.com/19962xx1/status/1317459772048723968,79,3,47
https://twitter.com/1996sheeit/status/1317102634025644032,3,2,1
https://twitter.com/1996sheeit/status/1317339351597031426,25,0,5
